agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,usable_cell
des,all,30-34,3.0,5,5,2,3,32.8,2.9993333347638447,0.029482794947256453,0.5205000047385692,42.84283333460489,6.767099408245934,14.232799990971884,1.7592692224144635,98.38750071207683,17.383449641244965,8.759388454910908,9.322881702914547,-2.3204881735308027,10.5,10.344808220165097,-8.060567938330415,True
des,all,30-34,3.1,1,1,0,1,31.0,3.094166576862335,,0.800000011920929,41.07250000635783,,14.418666664759318,,98.9400005976359,15.733210879786943,8.863462543216542,8.847845789975423,-2.5204420245492503,9.5,9.658656789264036,-6.88536508981152,False
des,all,30-34,3.5,9,9,6,3,32.0,3.5067592561244965,0.01397196133929526,0.6167592606058827,40.431203700878,8.76505118291683,14.161768494711982,2.042592031236817,98.79740789201524,18.266237886684,10.206092450234399,10.584334600720252,-1.4625322295848326,9.5,12.742928786240311,-7.681903285963745,True
des,all,30-34,3.6,3,3,1,2,32.333333333333336,3.592499924368328,0.00682111619294437,0.6547222231825193,32.2861111164093,5.384632298265451,13.296861110793222,1.888605036344486,91.85222237904867,29.22670098517233,17.317672975983978,13.916031472810603,4.289949775633322,8.5,13.892365651245626,-15.310669512361722,True
des,all,30-34,3.8,1,1,1,0,31.0,3.805833293994268,,0.5,42.46583334604899,,14.06791664759318,,98.9666669845581,12.22121545299217,8.806258667668626,11.519016185441536,-2.458102820638289,10.5,13.667255039113114,-0.7021992675506361,False
des,all,30-34,3.9,1,1,1,0,34.0,3.94416663646698,,0.5825000196695328,36.085833358764646,,13.618749944368998,,92.00916741689046,25.18498578899901,20.581258365707157,14.211909738928869,9.84309524331421,9.5,13.661659366860604,-10.973076050070144,False
des,all,30-34,4.0,11,11,5,6,32.09090909090909,3.995757571675561,0.013806475329545435,0.6053030513452762,44.50621215502422,9.063136937428881,14.858446975187821,2.4541026201423994,96.08431839798436,21.1771279374464,12.42000240295285,11.81703002948271,1.4641715099921742,10.5,11.825999518268594,-9.36009790796369,True
des,all,30-34,4.4,1,1,0,1,33.0,4.400000095367432,,0.6000000238418579,49.61083323160808,,17.02025006612142,,100.0,20.645882975460665,8.388028502422278,6.361248726790905,-0.2867634918663124,8.5,6.164045059860259,-14.284634248669756,False
des,all,30-34,4.5,11,11,7,4,32.27272727272727,4.505681812763214,0.0106184890730393,0.6910606190110697,41.544924251960985,9.660851766050746,14.49808330969377,2.4027376110305525,96.90545471075808,20.207095294266864,12.727446402174026,11.408662653809513,1.8116604389424429,9.5,11.611820744274098,-8.798432640457353,True
des,all,30-34,4.6,3,3,2,1,33.0,4.6027776797612505,0.03625076363176193,0.7119444494446118,34.89916664759318,4.796779349281,12.673944449424743,0.2923105578841954,90.88916659884983,25.49727777833269,15.669279515171873,12.003366198575462,4.199167406968751,9.5,11.23228455280312,-13.493911579757231,True
