age_bin,target_agent,template_path,n_windows_requested,status,error_preview
65-69,2.5,data\dsa_templates_v1\age_65_69_et_2.5.npz,25,ok,
65-69,2.6,data\dsa_templates_v1\age_65_69_et_2.6.npz,28,ok,
65-69,2.7,data\dsa_templates_v1\age_65_69_et_2.7.npz,21,ok,
65-69,2.8,data\dsa_templates_v1\age_65_69_et_2.8.npz,17,ok,
65-69,2.9,data\dsa_templates_v1\age_65_69_et_2.9.npz,10,ok,
65-69,3.0,data\dsa_templates_v1\age_65_69_et_3.0.npz,8,ok,
70-74,1.0,data\dsa_templates_v1\age_70_74_et_1.0.npz,47,ok,
70-74,1.1,data\dsa_templates_v1\age_70_74_et_1.1.npz,46,ok,
70-74,1.2,data\dsa_templates_v1\age_70_74_et_1.2.npz,57,ok,
70-74,1.3,data\dsa_templates_v1\age_70_74_et_1.3.npz,64,ok,
70-74,1.4,data\dsa_templates_v1\age_70_74_et_1.4.npz,79,ok,
70-74,1.5,data\dsa_templates_v1\age_70_74_et_1.5.npz,96,ok,
70-74,1.6,data\dsa_templates_v1\age_70_74_et_1.6.npz,84,ok,
70-74,1.7,data\dsa_templates_v1\age_70_74_et_1.7.npz,75,ok,
70-74,1.8,data\dsa_templates_v1\age_70_74_et_1.8.npz,67,ok,
70-74,1.9,data\dsa_templates_v1\age_70_74_et_1.9.npz,86,ok,
70-74,2.0,data\dsa_templates_v1\age_70_74_et_2.0.npz,71,ok,
70-74,2.1,data\dsa_templates_v1\age_70_74_et_2.1.npz,62,ok,
70-74,2.2,data\dsa_templates_v1\age_70_74_et_2.2.npz,59,ok,
70-74,2.3,data\dsa_templates_v1\age_70_74_et_2.3.npz,33,ok,
70-74,2.4,data\dsa_templates_v1\age_70_74_et_2.4.npz,32,ok,
70-74,2.5,data\dsa_templates_v1\age_70_74_et_2.5.npz,18,ok,
70-74,2.6,data\dsa_templates_v1\age_70_74_et_2.6.npz,15,ok,
70-74,2.7,data\dsa_templates_v1\age_70_74_et_2.7.npz,11,ok,
70-74,2.8,data\dsa_templates_v1\age_70_74_et_2.8.npz,7,ok,
70-74,2.9,data\dsa_templates_v1\age_70_74_et_2.9.npz,5,ok,
70-74,3.0,data\dsa_templates_v1\age_70_74_et_3.0.npz,6,ok,
