agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,mean_fen2o,mean_fin2o,max_fen2o,max_fin2o,usable_cell
sevo,all,25-29,1.1,9,9,5,4,26.11111111111111,1.0917636206123496,0.02259207455074441,0.5546672484539967,52.657757572388206,5.258028495586761,16.985349470411464,1.0932837639657886,97.36317335654189,15.102800324344631,10.554463466863849,11.923377454138542,0.5342240137503667,11.5,13.72140769642682,-3.179422870206091,0.0,0.0,0.0,0.0,True
sevo,all,25-29,1.2,13,13,7,6,26.615384615384617,1.2018204379002921,0.02085746412260811,0.550700125373297,46.97387724562715,8.423292953813853,15.659453774195832,2.209152208043454,97.54752904944695,17.76065331625242,12.117571840612865,13.136004292992356,0.31066169319746173,10.0,14.765715253970487,-4.6246490232600665,0.0,0.0,0.0,0.0,True
sevo,all,25-29,1.3,13,13,7,6,26.923076923076923,1.2904306623302637,0.02168432112311599,0.5978095131518785,43.143749008174886,11.428918839799556,14.893146124634987,2.8166345103077375,98.10427914506349,17.79454519775683,12.433407113778498,12.326494624008207,0.18607541774573189,9.5,14.228278018751022,-5.468050573748622,0.0,0.0,0.0,0.0,True
sevo,all,25-29,1.4,15,15,8,7,26.4,1.4026440740107662,0.023506474851034128,0.613599846014339,46.24088934623533,9.028419830209405,15.334760573527053,2.265704390810294,97.29614061610566,17.766073568117797,12.62367468259269,13.611270961363056,0.6627086165970656,10.5,15.590224350309416,-4.154802606754742,0.0,0.0,0.0,0.0,True
sevo,all,25-29,1.5,22,22,13,9,27.181818181818183,1.4969513487049633,0.01873842328413946,0.6690879526579837,43.88374913503049,8.750001314315698,14.765357170019751,2.0659064935845546,97.96736314091267,18.74863072117174,13.583969627073616,13.772749896761797,0.5365647290088623,10.0,15.360153113893064,-4.975880824409941,0.0,0.0,0.0,0.0,True
sevo,all,25-29,1.6,26,26,17,9,26.807692307692307,1.5953565924598547,0.017246576652256273,0.7120637938917542,42.55211862123166,8.855593456167206,14.48891276708589,2.1617856486376485,97.5883821237928,18.864268258176516,13.384606344368686,13.37736551582603,-0.007869155677347873,9.5,15.090881829442754,-5.486902742350485,0.0,0.0,0.0,0.0,True
sevo,all,25-29,1.7,19,19,12,7,26.789473684210527,1.7022166584883898,0.02197174332375811,0.7591861960980552,38.78443911061214,10.119404343384108,13.694827176457304,2.1453137344944904,98.01170195226084,20.44490300286734,14.291238125419328,13.181928727050343,-0.33959501373346274,9.5,14.959942139887739,-7.262974275816996,0.0,0.0,0.0,0.0,True
sevo,all,25-29,1.8,14,14,8,6,27.214285714285715,1.7902752713472139,0.026205573929988613,0.8132682341270127,36.181865685912115,6.0513601908071015,12.948565556938274,1.5192666609917507,97.73997998368883,19.53606321077575,13.43047794406325,11.50791536418627,-2.1882669790689167,9.25,13.177927895427672,-8.02814784658948,0.0,0.0,0.0,0.0,True
sevo,all,25-29,1.9,23,23,14,9,26.956521739130434,1.90204453153394,0.019425283161289247,0.8321311760104964,38.727285661888516,9.890575179730282,13.621688671985074,2.4989020106558657,97.96628348095261,19.762633301721323,13.675405891283598,12.269118125831355,-0.890225468555154,9.5,14.393763695565292,-7.493515175889967,0.0,0.0,0.0,0.0,True
sevo,all,25-29,2.0,26,26,17,9,27.0,2.0068163910194134,0.02259454432970397,0.8987660130987373,37.95570938248092,9.024764005410553,13.488343066153808,2.395657559934751,98.29627108476483,19.693567840024397,14.219599495633783,12.595130479810045,-1.063391018986763,9.0,14.757405378550457,-7.098437360214348,0.0,0.0,0.0,0.0,True
sevo,all,25-29,2.1,20,20,14,6,27.0,2.1019722597580404,0.021213962084199785,0.9335693200991955,36.081346637376896,8.071688553380525,12.639790255147963,2.2169545311044434,98.48168430291116,20.18883875746705,14.312709548149735,12.201880155747354,-1.516249430608229,9.0,14.639481069012197,-7.986958601719698,0.0,0.0,0.0,0.0,True
sevo,all,25-29,2.2,16,16,11,5,27.6875,2.2017293502867687,0.015243531821478007,0.9715759209575481,35.04599119982837,8.956344797318339,12.560059064902209,2.64718884753227,97.64853556454182,20.9227721408579,14.505683703794624,11.76052971008049,-1.368559006720564,8.75,14.117788934971308,-9.162242430777413,0.0,0.0,0.0,0.0,True
sevo,all,25-29,2.3,12,12,9,3,26.75,2.2894406532648848,0.032027568395138414,1.0896511613384872,34.061233723515436,7.966938346968435,11.960745467731934,1.8643682923700855,98.11766654294398,20.66596323989788,14.29987805704271,11.646306167323479,-2.6656798340839005,8.5,13.892257967237176,-9.019657072574406,0.0,0.0,0.0,0.0,True
sevo,all,25-29,2.4,14,14,8,6,26.785714285714285,2.398081816416899,0.023760774698471557,1.0595219635959006,33.36751296708272,7.1269873855143375,12.332929348018732,1.862058634982505,98.10914327747057,20.8022032278875,14.534205587507014,11.620229133456975,-2.1588429535027536,8.75,14.081177470880935,-9.18197409443052,0.0,0.0,0.0,0.0,True
